,0,1
0,introspection,examining one's own thoughts and feelings
1,philanthropist,one who loves mankind
2,antidote,medicine used against a poison or a disease
3,strive,"to make great efforts, to struggle"
4,ambidextrous,able to use the left hand or the right equally well
5,precursors,"a person or thing that precedes, as in a process or job."
6,retrospective,Looking back on past
7,introvert,one who turns towards himself
8,ambiguous,doubtful; uncertain
9,gerontocracy,government ruled by old people
10,aggravate,make worse; irritate
11,braggart,boastful
12,entice,"attract, lure"
13,equilibrium,state of being balanced
14,alleviate,make (pain) easier to bear
15,adorn,add beauty; decorate
16,malevolent,malicious; evil; having or showing ill will
17,connote,"Suggest or imply in addition to the precise, literal meaning"
18,abhor,to hate; to detest
19,agile,active; quick-moving
20,endeavor,"to make an effort, to try very hard"
21,stray,wander lose one's way
22,renovate,restore something to better condition
23,curriculum,course of study
24,amalgamate,mix; combine; unite societies
25,drowsiness,feeling sleepy half asleep
26,disrobe,undress
27,xenophile (zen-uh-fahyl),a person who is attracted to foreign peoples cultures
28,suffocate,cause or have difficulty in breathing
29,sequence,succession connected line of
30,scent,smell (especially pleasant)
31,sporadic,happening from time to time
32,affinity,close connection; relationship
33,audacious,Bold
34,heterogeneous,made up of different kinds
35,animosity,strong dislike
36,fragile,easily injured broken or destroyed
37,acumen,"Keen, quick, accurate insight or judgment"
38,legacy,Bequest or inheritance
39,massacre,cruel killing of a large number of people
40,submerge,put under water liquid sink out of sight
41,combustion,process of burning
42,adulteration,making unpure; poorer in quality
43,appease,make quiet or calm
44,premature,doing or happening something before the right time
45,inquest,"Legal or judicial inquiry, especially before a jury and especially made by a coroner into the cause of someone.s death"
46,shunned,"avoided, kept away from"
47,conceal,hide keep secret
48,anguish,severe suffering
49,indigenous,native
50,apt,well-suited; quick-witted
51,correlate,have a mutual relation
52,grumble,to complain
53,offhand,Without preparation or forethought
54,somersault,rolling backward or forward (not sideways) movement
55,extinguish,end the existence of/wipe or put out
56,edible,fit to be eaten/not poisonous
57,conjoin,to join together
58,surcharge,additional load/charge
59,accolade,praise; approval
60,disallow,refuse to allow or accept as a correct
61,opaqueness,dullness/not allowing light to pass through
62,impermeable,that cannot be permeated
63,console,give comfort or sympathy to
64,timid,shy easily frightened
65,abscond,to go away suddenly (to avoid arrest)
66,abide,be faithful; to endure
67,embezzle,use in a wrong way for one's own benefit
68,warrant,authority written order guarantee
69,reminiscent,suggest something in the past
70,extinct,no longer active
71,loll,rest to sit or stand in a lazy way hang (dog's tongue)
72,acclaimed,welcomed with shouts and approval
73,clientele,customers
74,catalyst,substance that causes speeding up
75,shallow,little depth; not earnest
76,brittle,easily broken
77,negligent,taking too little care
78,affable,polite and friendly
79,poseur,a person who attempts to impress by acting unlike himself
80,dangle,hand or swing loosely
81,moribund,in a dying state; near death
82,ascend,go or come up
83,relapse,fall back again
84,asterisk,the mark * (e.g.. omitted letters)
85,yarn,tale story fibers for knitting
86,arrogance,proud; superior manner of behaviour
87,salvage,the saving of property from loss
88,livid,"Furiously angry, enraged"
89,divergence,getting farther apart from a point
90,rejuvenation,becoming young in nature or appearance
91,allegiance,duty support loyalty
92,vigorous,strong energetic
93,dullard,"a stupid, insensitive person"
94,dwarf,person much smaller the usual size
95,fragrant,sweet-smelling
96,judicious,sound in judgment; wise
97,nihilism,total rejection of all religious and moral beliefs
98,odor,smell
99,scribble,write hastily
100,hospitable,liking to give hospitality
101,narcissism,Self-love
102,sawdust,tiny bits of wood
103,ameliorate,improve; make better
104,ingest,take in by swallowing
105,gait,"a manner of walking, stepping, or running"
106,sluggard,lazy slow-moving person
107,succumb,"yield, die"
108,reiterate,say or do again several times
109,flop,fail/move/fall clumsily
110,defer,postpone
111,ossified,turned to bone; hardened like bone; Inflexible
112,eloquence,fluent speaking skillful use of language
113,derivative,unoriginal; obtained from another source
114,commuter,person who travels regularly
115,clot,half-solid lump formed from liquid
116,weigh,measure hoe heavy something is
117,steeply,rising or falling sharply
118,torque,twisting force causing rotation
119,benefactor,person who has given help
120,complaisant,trying to please; obliging
121,plea,request
122,moderation,quality of being limited; not extreme
123,enduring,lasting
124,invincible,too strong to be defeated
125,sanity,health of mind soundness of judgment
126,turmoil,trouble disturbance
127,flimsy,"lacking solidarity, strength"
128,tadpole,form of a frog when it leaves the egg
129,reconcile,settle a quarrel restore peace
130,cryptic,secret with a hidden meaning
131,sponge,porous rubber for washing live at once expense
132,commemorate,keep the memory of
133,sadistic,Cruel
134,dote,show much fondness center one's attention
135,encapsulate,enclose in capsule
136,fission,splitting or division (esp. of cells)
137,volatile,changeable inconstant fickle unstable explosive
138,alloy,to debase by mixing with something inferior
139,dormant,in a state of inactivity but awaiting development
140,gallant,"brave,behaves well with women"
141,grievous,causing grief or pain; serious dire grave
142,enzyme,catalyst
143,shard,A piece of broken pottery
144,hypocrisy,falsely making oneself appear to be good
145,eradicate,get rid of pull up by the roots
146,chisel,steel tool for shaping materials
147,infuriate,fill with fury or rage
148,engulf,swallow up
149,euphoria,elation state of pleasant excitement
150,sanction,approval (by authority) penalty
151,renowned,celebrated; famous
152,riddle,puzzling person or thing
153,evoke,call up bring out
154,mischievous,harmful; causing mischief
155,implicit,implied though; not plainly expressed
156,disproof,proof to the contrary
157,misogynist,one who hates women/females
158,abysmal,extreme bad
159,writ,written order
160,pertain,belong as a part have reference
161,erratic,irregular in behaviour or opinion
162,meticulous,giving great attention to details
163,impromptu,without preparation
164,inclined,directing the mind in a certain direction
165,constrict,make tight or smaller
166,perish,be destroyed decay
167,Lambaste,attack verbally
168,luminary,star; light-giving body
169,dupe,cheat make a fool of
170,auxiliary,helping; supporting
171,extralegal,outside the law
172,ambivalent,having both of two contrary meanings
173,tonic,something giving strength or energy
174,endorse,write one's name on the back of
175,turbulence,being uncontrollably violent
176,connoisseur,a person with good judgement (e.g.. in art)
177,indistinct,not easily heard; seen clearly marked
178,abstruse,difficult to comprehend; obscure
179,limp,lacking strength; walking unevenly
180,parenthesis,sentence within another one something separated
181,sophisticated,complex; subtle; refined
182,aberration,straying away from what is normal
183,recuperate,become strong after illness loss exhaustion
184,perjury,willful FALSE statement unlawful act
185,mite,"A very small amount, portion, or particle"
186,pest,destructive thing or a person who is nuisance
187,pluck,pull the feathers off pick (e.g.. flowers)
188,satiate,satisfy fully
189,colloquial,involving or using conversation.
190,yeoman,man owning small estate; middle-class farmer
191,ail,"to cause pain, uneasiness, or trouble to."
192,fidelity,loyalty accuracy
193,mesmerize,hypnotize
194,paradigm,a model example or pattern
195,gullible,easily gulled
196,sobriety,quality or condition of being sober
197,dislodge,move force from the place occupied
198,fleet,number of ships; quick-moving
199,articulate,speak distinctly; connect by joints
200,tractable,easily controlled or guided
